"country","industry"
ID,"Akunting dan Jasa Keuangan"
ID,"Jasa Hukum"
ID,"Logistik"
ID,"Busana dan Fashion"
ID,"Perhiasan"
ID,"Percetakan dan Penerbitan"
ID,"Medis dan Farmasi"
ID,"Otomotif dan Transportasi"
ID,"Kesehatan dan Olahraga"
ID,"Travel dan Turisme"
ID,"Arsitektur dan Konstruksi"
ID,"Permesinan dan Manufaktur"
ID,"Kelautan"
ID,"Keselamatan dan Security"
ID,"Agrikultur"
ID,"Hiburan"
ID,"IT, Elektronik, dan Komunikasi"
ID,"Perumahan"
ID,"Pelatihan dan Pendidikan"
ID,"Marketing, Media, dan Komunikasi"
ID,"Sains dan Teknologi"
ID,"Aparel"
ID,"Makanan dan Minuman"
ID,"Perdagangan Besar dan Eceran"
ID,"Konveksi"
ID,"Lain-lain"
ID,"Warung Makan"
ID,"Jual Makanan / Minuman Jadi"
ID,"Jual pulsa / HP"
ID,"PPOB"
ID,"Online seller"
ID,"Bengkel"
ID,"Binatu / laundry"
ID,"Warung kelontong / sembako"
ID,"Dekorasi"
ID,"Catering"
ID,"Fotografer"
ID,"Catering"
ID,"Klinik"
SG,"Professional Services"
SG,"Transport Storage and Logistics"
SG,"Health and Medical"
SG,"Tourism"
SG,"Construction"
SG,"Manufacturing and Engineering"
SG,"Manufacturing"
SG,"Engineering"
SG,"Marine and Shipping"
SG,"Food and Beverages"
SG,"Arts Entertainment and Recreation"
SG,"Information Technology"
SG,"Training and Education"
SG,"Marketing and Communication"
SG,"Science and Technology"
SG,"Apparels"
SG,"Wholesale and Retail Trade"
SG,"Wholesale Trade"
SG,"Retail Trade"
SG,"Oil and Gas"
SG,"Others"
